District,Date,Month,Year,Visitors
Ranga Reddy,02-01-2016,February,2016,NULL
Ranga Reddy,03-01-2016,March,2016,NULL
Ranga Reddy,04-01-2016,April,2016,NULL
Ranga Reddy,05-01-2016,May,2016,NULL
Ranga Reddy,06-01-2016,June,2016,NULL
Ranga Reddy,07-01-2016,July,2016,NULL
Ranga Reddy,08-01-2016,August,2016,NULL
Ranga Reddy,09-01-2016,September,2016,NULL
Ranga Reddy,10-01-2016,October,2016,NULL
Ranga Reddy,11-01-2016,November,2016,NULL
Ranga Reddy,12-01-2016,December,2016,NULL
Sangareddy ,01-01-2016,January,2016,NULL
Sangareddy ,02-01-2016,February,2016,NULL
Sangareddy ,03-01-2016,March,2016,NULL
Sangareddy ,04-01-2016,April,2016,NULL
Sangareddy ,05-01-2016,May,2016,NULL
Sangareddy ,06-01-2016,June,2016,NULL
Sangareddy ,07-01-2016,July,2016,NULL
Sangareddy ,08-01-2016,August,2016,NULL
Sangareddy ,09-01-2016,September,2016,NULL
Sangareddy ,10-01-2016,October,2016,0
Sangareddy ,11-01-2016,November,2016,0
Sangareddy ,12-01-2016,December,2016,0
Siddipet,01-01-2016,January,2016,NULL
Siddipet,02-01-2016,February,2016,NULL
Siddipet,03-01-2016,March,2016,NULL
Siddipet,04-01-2016,April,2016,NULL
Siddipet,05-01-2016,May,2016,NULL
Siddipet,06-01-2016,June,2016,NULL
Siddipet,07-01-2016,July,2016,NULL
Siddipet,08-01-2016,August,2016,NULL
Siddipet,09-01-2016,September,2016,NULL
Siddipet,10-01-2016,October,2016,0
Siddipet,11-01-2016,November,2016,0
Siddipet,12-01-2016,December,2016,0
Suryapet,01-01-2016,January,2016,NULL
Suryapet,02-01-2016,February,2016,NULL
Suryapet,03-01-2016,March,2016,NULL
Suryapet,04-01-2016,April,2016,NULL
Suryapet,05-01-2016,May,2016,NULL
Suryapet,06-01-2016,June,2016,NULL
Suryapet,07-01-2016,July,2016,NULL
Suryapet,08-01-2016,August,2016,NULL
Suryapet,09-01-2016,September,2016,NULL
Suryapet,10-01-2016,October,2016,0
Suryapet,11-01-2016,November,2016,0
Suryapet,12-01-2016,December,2016,0
Vikarabad,01-01-2016,January,2016,NULL
Vikarabad,02-01-2016,February,2016,NULL
Vikarabad,03-01-2016,March,2016,NULL
Vikarabad,04-01-2016,April,2016,NULL
Vikarabad,05-01-2016,May,2016,NULL
Vikarabad,06-01-2016,June,2016,NULL
Vikarabad,07-01-2016,July,2016,NULL
Vikarabad,08-01-2016,August,2016,NULL
Vikarabad,09-01-2016,September,2016,NULL
Vikarabad,10-01-2016,October,2016,NULL
Vikarabad,11-01-2016,November,2016,NULL
Vikarabad,12-01-2016,December,2016,NULL
Wanaparthy ,01-01-2016,January,2016,NULL
Wanaparthy ,02-01-2016,February,2016,NULL
Wanaparthy ,03-01-2016,March,2016,NULL
Wanaparthy ,04-01-2016,April,2016,NULL
Wanaparthy ,05-01-2016,May,2016,NULL
Wanaparthy ,06-01-2016,June,2016,NULL
Wanaparthy ,07-01-2016,July,2016,NULL
Wanaparthy ,08-01-2016,August,2016,NULL
Wanaparthy ,09-01-2016,September,2016,NULL
Wanaparthy ,10-01-2016,October,2016,0
Wanaparthy ,11-01-2016,November,2016,0
Wanaparthy ,12-01-2016,December,2016,0
Warangal (Rural),01-01-2016,January,2016,NULL
Warangal (Rural),02-01-2016,February,2016,NULL
Warangal (Rural),03-01-2016,March,2016,NULL
Warangal (Rural),04-01-2016,April,2016,NULL
Warangal (Rural),05-01-2016,May,2016,NULL
Warangal (Rural),06-01-2016,June,2016,NULL
Warangal (Rural),07-01-2016,July,2016,NULL
Warangal (Rural),08-01-2016,August,2016,NULL
Warangal (Rural),09-01-2016,September,2016,NULL
Warangal (Rural),10-01-2016,October,2016,0
Warangal (Rural),11-01-2016,November,2016,0
Warangal (Rural),12-01-2016,December,2016,0
Warangal (Urban),01-01-2016,January,2016,459
Warangal (Urban),02-01-2016,February,2016,391
Warangal (Urban),03-01-2016,March,2016,230
Warangal (Urban),04-01-2016,April,2016,39
Warangal (Urban),05-01-2016,May,2016,82
Warangal (Urban),06-01-2016,June,2016,88
Warangal (Urban),07-01-2016,July,2016,53
Warangal (Urban),08-01-2016,August,2016,102
Warangal (Urban),09-01-2016,September,2016,118
Warangal (Urban),10-01-2016,October,2016,108
Warangal (Urban),11-01-2016,November,2016,97
Warangal (Urban),12-01-2016,December,2016,132
Yadadri Bhongir,01-01-2016,January,2016,NULL
Yadadri Bhongir,02-01-2016,February,2016,NULL
Yadadri Bhongir,03-01-2016,March,2016,NULL
Yadadri Bhongir,04-01-2016,April,2016,NULL
Yadadri Bhongir,05-01-2016,May,2016,NULL
Yadadri Bhongir,06-01-2016,June,2016,NULL
Yadadri Bhongir,07-01-2016,July,2016,NULL
Yadadri Bhongir,08-01-2016,August,2016,NULL
Yadadri Bhongir,09-01-2016,September,2016,NULL
Yadadri Bhongir,10-01-2016,October,2016,0
Yadadri Bhongir,11-01-2016,November,2016,0
Yadadri Bhongir,12-01-2016,December,2016,0
Adilabad,01-01-2017,January,2017,5
Adilabad,02-01-2017,February,2017,0
Adilabad,03-01-2017,March,2017,0
Adilabad,04-01-2017,April,2017,0
Adilabad,05-01-2017,May,2017,0
Adilabad,06-01-2017,June,2017,3
Adilabad,07-01-2017,July,2017,0
Adilabad,08-01-2017,August,2017,0
Adilabad,09-01-2017,September,2017,3
Adilabad,10-01-2017,October,2017,0
Adilabad,11-01-2017,November,2017,0
Adilabad,12-01-2017,December,2017,0
Bhadradri Kothagudem ,01-01-2017,January,2017,0
Bhadradri Kothagudem ,02-01-2017,February,2017,0
Bhadradri Kothagudem ,03-01-2017,March,2017,0
Bhadradri Kothagudem ,04-01-2017,April,2017,0
Bhadradri Kothagudem ,05-01-2017,May,2017,0
Bhadradri Kothagudem ,06-01-2017,June,2017,0
Bhadradri Kothagudem ,07-01-2017,July,2017,0
Bhadradri Kothagudem ,08-01-2017,August,2017,0
Bhadradri Kothagudem ,09-01-2017,September,2017,0
Bhadradri Kothagudem ,10-01-2017,October,2017,0
Bhadradri Kothagudem ,11-01-2017,November,2017,0
Bhadradri Kothagudem ,12-01-2017,December,2017,0
Hyderabad,01-01-2017,January,2017,19286
Hyderabad,02-01-2017,February,2017,18097
Hyderabad,03-01-2017,March,2017,13875
Hyderabad,04-01-2017,April,2017,12996
Hyderabad,05-01-2017,May,2017,12983
Hyderabad,06-01-2017,June,2017,12486
Hyderabad,07-01-2017,July,2017,18144
Hyderabad,08-01-2017,August,2017,16985
Hyderabad,09-01-2017,September,2017,27856
Hyderabad,10-01-2017,October,2017,26368
Hyderabad,11-01-2017,November,2017,29170
Hyderabad,12-01-2017,December,2017,38933
Jagtial ,01-01-2017,January,2017,0
Jagtial ,02-01-2017,February,2017,0
Jagtial ,03-01-2017,March,2017,0
Jagtial ,04-01-2017,April,2017,0
Jagtial ,05-01-2017,May,2017,0
Jagtial ,06-01-2017,June,2017,0
Jagtial ,07-01-2017,July,2017,0
Jagtial ,08-01-2017,August,2017,0
Jagtial ,09-01-2017,September,2017,0
Jagtial ,10-01-2017,October,2017,0
Jagtial ,11-01-2017,November,2017,0
Jagtial ,12-01-2017,December,2017,0
Jangaon ,01-01-2017,January,2017,0
Jangaon ,02-01-2017,February,2017,0
Jangaon ,03-01-2017,March,2017,0
Jangaon ,04-01-2017,April,2017,0
Jangaon ,05-01-2017,May,2017,0
Jangaon ,06-01-2017,June,2017,0
Jangaon ,07-01-2017,July,2017,0
Jangaon ,08-01-2017,August,2017,0
Jangaon ,09-01-2017,September,2017,0
Jangaon ,10-01-2017,October,2017,0
Jangaon ,11-01-2017,November,2017,0
Jangaon ,12-01-2017,December,2017,0
Jayashankar Bhoopalpally,01-01-2017,January,2017,85
Jayashankar Bhoopalpally,02-01-2017,February,2017,38
Jayashankar Bhoopalpally,03-01-2017,March,2017,35
Jayashankar Bhoopalpally,04-01-2017,April,2017,36
Jayashankar Bhoopalpally,05-01-2017,May,2017,40
Jayashankar Bhoopalpally,06-01-2017,June,2017,35
Jayashankar Bhoopalpally,07-01-2017,July,2017,42
Jayashankar Bhoopalpally,08-01-2017,August,2017,45
Jayashankar Bhoopalpally,09-01-2017,September,2017,56
Jayashankar Bhoopalpally,10-01-2017,October,2017,55
Jayashankar Bhoopalpally,11-01-2017,November,2017,58
Jayashankar Bhoopalpally,12-01-2017,December,2017,57
Jogulamba Gadwal ,01-01-2017,January,2017,20
Jogulamba Gadwal ,02-01-2017,February,2017,16
Jogulamba Gadwal ,03-01-2017,March,2017,32
Jogulamba Gadwal ,04-01-2017,April,2017,29
Jogulamba Gadwal ,05-01-2017,May,2017,31
Jogulamba Gadwal ,06-01-2017,June,2017,32
Jogulamba Gadwal ,07-01-2017,July,2017,34
Jogulamba Gadwal ,08-01-2017,August,2017,25
Jogulamba Gadwal ,09-01-2017,September,2017,42
Jogulamba Gadwal ,10-01-2017,October,2017,13
Jogulamba Gadwal ,11-01-2017,November,2017,21
Jogulamba Gadwal ,12-01-2017,December,2017,10
Kamareddy ,01-01-2017,January,2017,0
Kamareddy ,02-01-2017,February,2017,0
Kamareddy ,03-01-2017,March,2017,0
Kamareddy ,04-01-2017,April,2017,0
Kamareddy ,05-01-2017,May,2017,0
Kamareddy ,06-01-2017,June,2017,0
Kamareddy ,07-01-2017,July,2017,0
Kamareddy ,08-01-2017,August,2017,0
Kamareddy ,09-01-2017,September,2017,0
Kamareddy ,10-01-2017,October,2017,0
Kamareddy ,11-01-2017,November,2017,0
Kamareddy ,12-01-2017,December,2017,0
Karimnagar ,01-01-2017,January,2017,0
Karimnagar ,02-01-2017,February,2017,0
Karimnagar ,03-01-2017,March,2017,0
Karimnagar ,04-01-2017,April,2017,0
Karimnagar ,05-01-2017,May,2017,0
Karimnagar ,06-01-2017,June,2017,0
Karimnagar ,07-01-2017,July,2017,0
Karimnagar ,08-01-2017,August,2017,0
Karimnagar ,09-01-2017,September,2017,0
Karimnagar ,10-01-2017,October,2017,0
Karimnagar ,11-01-2017,November,2017,0
Karimnagar ,12-01-2017,December,2017,0
Khammam,01-01-2017,January,2017,0
Khammam,02-01-2017,February,2017,0
Khammam,03-01-2017,March,2017,0
Khammam,04-01-2017,April,2017,0
Khammam,05-01-2017,May,2017,0
Khammam,06-01-2017,June,2017,0
Khammam,07-01-2017,July,2017,0
Khammam,08-01-2017,August,2017,0
Khammam,09-01-2017,September,2017,0
Khammam,10-01-2017,October,2017,0
Khammam,11-01-2017,November,2017,0
Khammam,12-01-2017,December,2017,0
Komaram Bheem Asifabad,01-01-2017,January,2017,0
Komaram Bheem Asifabad,02-01-2017,February,2017,0
Komaram Bheem Asifabad,03-01-2017,March,2017,0
Komaram Bheem Asifabad,04-01-2017,April,2017,0
Komaram Bheem Asifabad,05-01-2017,May,2017,0
Komaram Bheem Asifabad,06-01-2017,June,2017,NULL
Komaram Bheem Asifabad,07-01-2017,July,2017,0
Komaram Bheem Asifabad,08-01-2017,August,2017,0
Komaram Bheem Asifabad,09-01-2017,September,2017,0
Komaram Bheem Asifabad,10-01-2017,October,2017,0
Komaram Bheem Asifabad,11-01-2017,November,2017,0
Komaram Bheem Asifabad,12-01-2017,December,2017,0
Mahabubabad ,01-01-2017,January,2017,0
Mahabubabad ,02-01-2017,February,2017,0
Mahabubabad ,03-01-2017,March,2017,0
Mahabubabad ,04-01-2017,April,2017,0
Mahabubabad ,05-01-2017,May,2017,0
Mahabubabad ,06-01-2017,June,2017,0
Mahabubabad ,07-01-2017,July,2017,0
Mahabubabad ,08-01-2017,August,2017,0
Mahabubabad ,09-01-2017,September,2017,0
Mahabubabad ,10-01-2017,October,2017,0
Mahabubabad ,11-01-2017,November,2017,0
