District,Date,Month,Year,Visitors
Siddipet,09-01-2016,September,2016,NULL
Siddipet,10-01-2016,October,2016,123500
Siddipet,11-01-2016,November,2016,154400
Siddipet,12-01-2016,December,2016,80500
Suryapet,01-01-2016,January,2016,NULL
Suryapet,02-01-2016,February,2016,NULL
Suryapet,03-01-2016,March,2016,NULL
Suryapet,04-01-2016,April,2016,NULL
Suryapet,05-01-2016,May,2016,NULL
Suryapet,06-01-2016,June,2016,NULL
Suryapet,07-01-2016,July,2016,NULL
Suryapet,08-01-2016,August,2016,NULL
Suryapet,09-01-2016,September,2016,NULL
Suryapet,10-01-2016,October,2016,0
Suryapet,11-01-2016,November,2016,0
Suryapet,12-01-2016,December,2016,0
Vikarabad,01-01-2016,January,2016,NULL
Vikarabad,02-01-2016,February,2016,NULL
Vikarabad,03-01-2016,March,2016,NULL
Vikarabad,04-01-2016,April,2016,NULL
Vikarabad,05-01-2016,May,2016,NULL
Vikarabad,06-01-2016,June,2016,NULL
Vikarabad,07-01-2016,July,2016,NULL
Vikarabad,08-01-2016,August,2016,NULL
Vikarabad,09-01-2016,September,2016,NULL
Vikarabad,10-01-2016,October,2016,NULL
Vikarabad,11-01-2016,November,2016,NULL
Vikarabad,12-01-2016,December,2016,NULL
Wanaparthy ,01-01-2016,January,2016,NULL
Wanaparthy ,02-01-2016,February,2016,NULL
Wanaparthy ,03-01-2016,March,2016,NULL
Wanaparthy ,04-01-2016,April,2016,NULL
Wanaparthy ,05-01-2016,May,2016,NULL
Wanaparthy ,06-01-2016,June,2016,NULL
Wanaparthy ,07-01-2016,July,2016,NULL
Wanaparthy ,08-01-2016,August,2016,NULL
Wanaparthy ,09-01-2016,September,2016,NULL
Wanaparthy ,10-01-2016,October,2016,21234
Wanaparthy ,11-01-2016,November,2016,18348
Wanaparthy ,12-01-2016,December,2016,20556
Warangal (Rural),01-01-2016,January,2016,NULL
Warangal (Rural),02-01-2016,February,2016,NULL
Warangal (Rural),03-01-2016,March,2016,NULL
Warangal (Rural),04-01-2016,April,2016,NULL
Warangal (Rural),05-01-2016,May,2016,NULL
Warangal (Rural),06-01-2016,June,2016,NULL
Warangal (Rural),07-01-2016,July,2016,NULL
Warangal (Rural),08-01-2016,August,2016,NULL
Warangal (Rural),09-01-2016,September,2016,NULL
Warangal (Rural),10-01-2016,October,2016,8200
Warangal (Rural),11-01-2016,November,2016,6050
Warangal (Rural),12-01-2016,December,2016,5150
Warangal (Urban),01-01-2016,January,2016,1986274
Warangal (Urban),02-01-2016,February,2016,20704169
Warangal (Urban),03-01-2016,March,2016,568627
Warangal (Urban),04-01-2016,April,2016,317682
Warangal (Urban),05-01-2016,May,2016,373870
Warangal (Urban),06-01-2016,June,2016,365420
Warangal (Urban),07-01-2016,July,2016,340373
Warangal (Urban),08-01-2016,August,2016,368857
Warangal (Urban),09-01-2016,September,2016,379328
Warangal (Urban),10-01-2016,October,2016,128355
Warangal (Urban),11-01-2016,November,2016,129347
Warangal (Urban),12-01-2016,December,2016,127632
Yadadri Bhongir,01-01-2016,January,2016,NULL
Yadadri Bhongir,02-01-2016,February,2016,NULL
Yadadri Bhongir,03-01-2016,March,2016,NULL
Yadadri Bhongir,04-01-2016,April,2016,NULL
Yadadri Bhongir,05-01-2016,May,2016,NULL
Yadadri Bhongir,06-01-2016,June,2016,NULL
Yadadri Bhongir,07-01-2016,July,2016,NULL
Yadadri Bhongir,08-01-2016,August,2016,NULL
Yadadri Bhongir,09-01-2016,September,2016,NULL
Yadadri Bhongir,10-01-2016,October,2016,584800
Yadadri Bhongir,11-01-2016,November,2016,681000
Yadadri Bhongir,12-01-2016,December,2016,462800
Adilabad,01-01-2017,January,2017,318804
Adilabad,02-01-2017,February,2017,83316
Adilabad,03-01-2017,March,2017,27508
Adilabad,04-01-2017,April,2017,13946
Adilabad,05-01-2017,May,2017,11752
Adilabad,06-01-2017,June,2017,26862
Adilabad,07-01-2017,July,2017,52386
Adilabad,08-01-2017,August,2017,34876
Adilabad,09-01-2017,September,2017,42702
Adilabad,10-01-2017,October,2017,41666
Adilabad,11-01-2017,November,2017,117322
Adilabad,12-01-2017,December,2017,54251
Bhadradri Kothagudem ,01-01-2017,January,2017,302315
Bhadradri Kothagudem ,02-01-2017,February,2017,251359
Bhadradri Kothagudem ,03-01-2017,March,2017,243943
Bhadradri Kothagudem ,04-01-2017,April,2017,667459
Bhadradri Kothagudem ,05-01-2017,May,2017,311626
Bhadradri Kothagudem ,06-01-2017,June,2017,351742
Bhadradri Kothagudem ,07-01-2017,July,2017,258114
Bhadradri Kothagudem ,08-01-2017,August,2017,316438
Bhadradri Kothagudem ,09-01-2017,September,2017,381784
Bhadradri Kothagudem ,10-01-2017,October,2017,334504
Bhadradri Kothagudem ,11-01-2017,November,2017,281515
Bhadradri Kothagudem ,12-01-2017,December,2017,393518
Hyderabad,01-01-2017,January,2017,1943981
Hyderabad,02-01-2017,February,2017,1904795
Hyderabad,03-01-2017,March,2017,1797778
Hyderabad,04-01-2017,April,2017,2379789
Hyderabad,05-01-2017,May,2017,2279776
Hyderabad,06-01-2017,June,2017,2019546
Hyderabad,07-01-2017,July,2017,1909014
Hyderabad,08-01-2017,August,2017,1993965
Hyderabad,09-01-2017,September,2017,2039136
Hyderabad,10-01-2017,October,2017,2228684
Hyderabad,11-01-2017,November,2017,2000608
Hyderabad,12-01-2017,December,2017,4910349
Jagtial ,01-01-2017,January,2017,174477
Jagtial ,02-01-2017,February,2017,159659
Jagtial ,03-01-2017,March,2017,323658
Jagtial ,04-01-2017,April,2017,330540
Jagtial ,05-01-2017,May,2017,468038
Jagtial ,06-01-2017,June,2017,418103
Jagtial ,07-01-2017,July,2017,247254
Jagtial ,08-01-2017,August,2017,386458
Jagtial ,09-01-2017,September,2017,143102
Jagtial ,10-01-2017,October,2017,248504
Jagtial ,11-01-2017,November,2017,348042
Jagtial ,12-01-2017,December,2017,393566
Jangaon ,01-01-2017,January,2017,12280
Jangaon ,02-01-2017,February,2017,12610
Jangaon ,03-01-2017,March,2017,8450
Jangaon ,04-01-2017,April,2017,9788
Jangaon ,05-01-2017,May,2017,12130
Jangaon ,06-01-2017,June,2017,13750
Jangaon ,07-01-2017,July,2017,16050
Jangaon ,08-01-2017,August,2017,15680
Jangaon ,09-01-2017,September,2017,15600
Jangaon ,10-01-2017,October,2017,16130
Jangaon ,11-01-2017,November,2017,16360
Jangaon ,12-01-2017,December,2017,16880
Jayashankar Bhoopalpally,01-01-2017,January,2017,96645
Jayashankar Bhoopalpally,02-01-2017,February,2017,96888
Jayashankar Bhoopalpally,03-01-2017,March,2017,81435
Jayashankar Bhoopalpally,04-01-2017,April,2017,90736
Jayashankar Bhoopalpally,05-01-2017,May,2017,91190
Jayashankar Bhoopalpally,06-01-2017,June,2017,93685
Jayashankar Bhoopalpally,07-01-2017,July,2017,94742
Jayashankar Bhoopalpally,08-01-2017,August,2017,118395
Jayashankar Bhoopalpally,09-01-2017,September,2017,112656
Jayashankar Bhoopalpally,10-01-2017,October,2017,115305
Jayashankar Bhoopalpally,11-01-2017,November,2017,116858
Jayashankar Bhoopalpally,12-01-2017,December,2017,723057
Jogulamba Gadwal ,01-01-2017,January,2017,214907
Jogulamba Gadwal ,02-01-2017,February,2017,481126
Jogulamba Gadwal ,03-01-2017,March,2017,155045
Jogulamba Gadwal ,04-01-2017,April,2017,131455
Jogulamba Gadwal ,05-01-2017,May,2017,131457
Jogulamba Gadwal ,06-01-2017,June,2017,160214
Jogulamba Gadwal ,07-01-2017,July,2017,160216
Jogulamba Gadwal ,08-01-2017,August,2017,131510
Jogulamba Gadwal ,09-01-2017,September,2017,123775
Jogulamba Gadwal ,10-01-2017,October,2017,152911
Jogulamba Gadwal ,11-01-2017,November,2017,188191
Jogulamba Gadwal ,12-01-2017,December,2017,214897
Kamareddy ,01-01-2017,January,2017,58
Kamareddy ,02-01-2017,February,2017,50
Kamareddy ,03-01-2017,March,2017,41
Kamareddy ,04-01-2017,April,2017,46
Kamareddy ,05-01-2017,May,2017,60
Kamareddy ,06-01-2017,June,2017,41
Kamareddy ,07-01-2017,July,2017,41
Kamareddy ,08-01-2017,August,2017,40
Kamareddy ,09-01-2017,September,2017,41
Kamareddy ,10-01-2017,October,2017,38
Kamareddy ,11-01-2017,November,2017,43
Kamareddy ,12-01-2017,December,2017,41
Karimnagar ,01-01-2017,January,2017,14425
Karimnagar ,02-01-2017,February,2017,10845
Karimnagar ,03-01-2017,March,2017,9625
Karimnagar ,04-01-2017,April,2017,8630
Karimnagar ,05-01-2017,May,2017,8890
Karimnagar ,06-01-2017,June,2017,10542
Karimnagar ,07-01-2017,July,2017,12350
Karimnagar ,08-01-2017,August,2017,10952
Karimnagar ,09-01-2017,September,2017,7576
Karimnagar ,10-01-2017,October,2017,8371
Karimnagar ,11-01-2017,November,2017,8705
Karimnagar ,12-01-2017,December,2017,13065
Khammam,01-01-2017,January,2017,132528
Khammam,02-01-2017,February,2017,115470
Khammam,03-01-2017,March,2017,101878
Khammam,04-01-2017,April,2017,135920
Khammam,05-01-2017,May,2017,138799
Khammam,06-01-2017,June,2017,138158
Khammam,07-01-2017,July,2017,105102
Khammam,08-01-2017,August,2017,129159
Khammam,09-01-2017,September,2017,140821
Khammam,10-01-2017,October,2017,155943
Khammam,11-01-2017,November,2017,110800
Khammam,12-01-2017,December,2017,137825
Komaram Bheem Asifabad,01-01-2017,January,2017,2241
Komaram Bheem Asifabad,02-01-2017,February,2017,2490
Komaram Bheem Asifabad,03-01-2017,March,2017,2767
Komaram Bheem Asifabad,04-01-2017,April,2017,3074
Komaram Bheem Asifabad,05-01-2017,May,2017,3416
Komaram Bheem Asifabad,06-01-2017,June,2017,3796
Komaram Bheem Asifabad,07-01-2017,July,2017,3713
Komaram Bheem Asifabad,08-01-2017,August,2017,3665
Komaram Bheem Asifabad,09-01-2017,September,2017,3934
Komaram Bheem Asifabad,10-01-2017,October,2017,14050
Komaram Bheem Asifabad,11-01-2017,November,2017,3627
Komaram Bheem Asifabad,12-01-2017,December,2017,4218
Mahabubabad ,01-01-2017,January,2017,13260
Mahabubabad ,02-01-2017,February,2017,13045
Mahabubabad ,03-01-2017,March,2017,9100
Mahabubabad ,04-01-2017,April,2017,9140
Mahabubabad ,05-01-2017,May,2017,10220
Mahabubabad ,06-01-2017,June,2017,10130
Mahabubabad ,07-01-2017,July,2017,10170
Mahabubabad ,08-01-2017,August,2017,12520
Mahabubabad ,09-01-2017,September,2017,13140
Mahabubabad ,10-01-2017,October,2017,13750
Mahabubabad ,11-01-2017,November,2017,13560
Mahabubabad ,12-01-2017,December,2017,13780
Mahbubnagar,01-01-2017,January,2017,446177
Mahbubnagar,02-01-2017,February,2017,805431
Mahbubnagar,03-01-2017,March,2017,178294
Mahbubnagar,04-01-2017,April,2017,208733
Mahbubnagar,05-01-2017,May,2017,214250
Mahbubnagar,06-01-2017,June,2017,179253
Mahbubnagar,07-01-2017,July,2017,179141
Mahbubnagar,08-01-2017,August,2017,215273
Mahbubnagar,09-01-2017,September,2017,180729
Mahbubnagar,10-01-2017,October,2017,196150
Mahbubnagar,11-01-2017,November,2017,259109
Mahbubnagar,12-01-2017,December,2017,426209
Mancherial,01-01-2017,January,2017,2937
Mancherial,02-01-2017,February,2017,3130
Mancherial,03-01-2017,March,2017,2775
Mancherial,04-01-2017,April,2017,1513
Mancherial,05-01-2017,May,2017,1424
Mancherial,06-01-2017,June,2017,2119
Mancherial,07-01-2017,July,2017,33591
Mancherial,08-01-2017,August,2017,26104
Mancherial,09-01-2017,September,2017,24297
Mancherial,10-01-2017,October,2017,37671
Mancherial,11-01-2017,November,2017,25737
Mancherial,12-01-2017,December,2017,30328
Medak ,01-01-2017,January,2017,523000
Medak ,02-01-2017,February,2017,543321
Medak ,03-01-2017,March,2017,548535
Medak ,04-01-2017,April,2017,554864
Medak ,05-01-2017,May,2017,556891
Medak ,06-01-2017,June,2017,561469
Medak ,07-01-2017,July,2017,575300
Medak ,08-01-2017,August,2017,632830
Medak ,09-01-2017,September,2017,696113
Medak ,10-01-2017,October,2017,765724
Medak ,11-01-2017,November,2017,842296
Medak ,12-01-2017,December,2017,926526
Medchal ,01-01-2017,January,2017,NULL
Medchal ,02-01-2017,February,2017,NULL
Medchal ,03-01-2017,March,2017,NULL
Medchal ,04-01-2017,April,2017,NULL
Medchal ,05-01-2017,May,2017,NULL
Medchal ,06-01-2017,June,2017,NULL
Medchal ,07-01-2017,July,2017,NULL
Medchal ,08-01-2017,August,2017,NULL
Medchal ,09-01-2017,September,2017,NULL
Medchal ,10-01-2017,October,2017,NULL
Medchal ,11-01-2017,November,2017,NULL
Medchal ,12-01-2017,December,2017,NULL
Nagarkurnool ,01-01-2017,January,2017,382898
Nagarkurnool ,02-01-2017,February,2017,286283
Nagarkurnool ,03-01-2017,March,2017,184532
Nagarkurnool ,04-01-2017,April,2017,183726
Nagarkurnool ,05-01-2017,May,2017,183728
Nagarkurnool ,06-01-2017,June,2017,180045
Nagarkurnool ,07-01-2017,July,2017,180035
Nagarkurnool ,08-01-2017,August,2017,181884
Nagarkurnool ,09-01-2017,September,2017,118042
Nagarkurnool ,10-01-2017,October,2017,201068
Nagarkurnool ,11-01-2017,November,2017,188807
Nagarkurnool ,12-01-2017,December,2017,382908
Nalgonda,01-01-2017,January,2017,4447
